journal,ISSN
Научная мысль Кавказа,2072-0181
Научно-агрономический,2500-0047
Научно – практический журнал,1812-0555
Научно-аналитический вестник,2618-7914
Научно-аналитический журнал,2687-0703
научно-практический журнал,2686-9764
"Научно-практический,",2227-3891
Научное мнение,2222-4378
Научное мнение.,2222-4379
Научное обеспечение системы,2076-8907
Научное обозрение. Серия 1.,2076-4650
Научное обозрение. Серия 2.,2076-4685
Научное обозрение: теория и,2226-0226
Научное приборостроение,0868-5886
Научные проблемы водного,2713-1858
Научный журнал «Менеджер»,2518-1440
Научно-методический журнал,1817-6488
Научно-образовательный и,2223-1277
Научно-педагогическое,2307-6127
Научно-практическая,1995-4484
Научно-практический журнал,2312-3184
Научно-практический журнал,1999-3765
Научно-практический журнал,2219-0279
Научно-практический журнал,0869-4427
Научно-практический журнал,2307-2873
Научно-практический журнал,1812-5220
Научно-практический журнал,2077-3366
Научно-практический журнал,2542-0259
Научно-практический журнал,2223-6880
Научно-практический журнал,1819-0464
Научно-производственный,0033-3239
Научно-технические ведомости,2304-9782
Научно-технический вестник,1810-5599
Научно-технический вестник,2413-9920
Научно-технический вестник,2226-1494
Научно-технический вестник,2079-5920
Научно-технический журнал,2413-5011
Научно-технический журнал,9999-0210
Научно-технический журнал,1999-5555
Научно-технический журнал,2587-9707
Научно-технический журнал,2541-8882
Научно-технический журнал,2306-8345
Научно-технический сборник,2306-8949
Научно-технический сборник,2223-7097
Научно–технический сборник,1819-3900
Научные и образовательные,2079-7001
Научные и технические,0130-9765
Научные исследования и,2587-6279
Научные исследования и,2587-9103
Научные исследования и,2587-9111
Научные исследования и,2587-6287
Научные исследования,2078-3809
Научные результаты,2658-6533
Научные труды Вольного,2072-2060
Научные труды Дальрыбвтуза,2713-3222
Научные труды Института,2712-8318
Научные труды: Институт,2076-3182
Научные труды Санкт-,2782-1889
Научный альманах стран,2414-1143
Научный вестник ГосНИИ ГА,2309-2998
Научный вестник Московского,2079-0619
Научный вестник Московской,2079-9438
Научный вестник НИИ,2414-5777
Научный вестник оборонно-,2410-4124
Научный вестник Орловского,2713-2536
"Научный вестник: финансы,",2312-5330
Научный журнал «Juvenis,2414-3782
"Научный журнал ""Вестник",2073-9621
Научный журнал,2310-6018
Научный журнал «Мягкие,2618-9976
Научный журнал,1564-2291
Научный журнал Российского,2412-6497
"Научный журнал ""Труды",2070-4755
"Научный журнал ""Управление в",2311-1313
Научный журнал,2410-6348
Научный журнал НИУ ИТМО.,2310-1164
Научный журнал НИУ ИТМО.,2310-1172
Научный журнал строительства,2541-7592
Научный и общественно-,2074-0492
Научный информационный,0869-4176
Научный журнал,1991-9700
Научный журнал,2309-2076
Научный информационный,0236-1914
"Научный поиск: личность,",2713-0959
Научный портал МВД России,2073-4069
Научный результат. Вопросы,2313-8912
Научный результат.,2518-1092
Научный результат. Педагогика,2313-8971
Научный результат.,2408-9338
Научный результат.,2408-9346
Научный результат.,2409-1634
Национальная,2073-8560
Национальное здоровье /,2410-8952
Национальные интересы:,2073-2872
Национальный журнал,2078-4104
Национальный,2079-6617
НАЧАЛА РУССКОГО МИРА,3034-1337
Начальная школа,0027-7371
Неотложная кардиология,2413-8991
Начальное образование,1998-0728
Неврологический вестник,1027-4898
Неврологический журнал,1560-9545
Неврологический журнал,2686-8997
"Неврология, нейропсихиатрия,",2074-2711
"Недвижимость: экономика,",2073-8412
Недропользование,2712-8008
Недропользование-XXI век,1998-4685
Неизвестный Достоевский,2409-5788
"Нейрокомпьютеры: разработка,",1999-8554
Нейрохирургия,1683-3295
Нейрохирургия и неврология,1680-6786
Нелинейный мир,2070-0970
"Неонатология: новости,",2308-2402
Неотложная хирургия им. И.И.,2712-9632
Неофилология,2587-6953
Непрерывное образование: XXI,2308-7234
Нервно-мышечные болезни,2222-8721
Нервные болезни,2226-0757
Нефрология,1561-6274
Нефрология и диализ,1680-4422
Нефтегазовое дело,2073-0128
Нефтегазохимия,2310-8266
Нефтепереработка и,0233-5727
Нефтепромысловое дело.,0207-2351
Нефть. Газ. Новации,2077-5423
Нефтяная провинция,2412-8910
Нефтяное хозяйство,0028-2448
Нива Поволжья,1998-6092
Нижегородское образование,2073-1086
Новая и новейшая история,0130-3864
Новое в психолого-,2072-2516
Новое литературное обозрение,0869-6365
Новое прошлое / The New Past,2500-3224
Новости навигации,2223-0475
Новости клинической,1562-4943
Новые психологические,2782-2184
Новые технологии / New,2072-0920
Новый филологический,2072-9316
Нормативно-правовое,2782-6252
Нотарiальный вѣстникъ,1819-6624
Нотариус,1813-1204
ОБЖ. Основы безопасности,1998-0736
Обзор педагогических,2687-0428
Обзоры по клинической,1683-4100
Обогащение руд,0202-3776
Обозреватель-Observer,2074-2975
Обозрение психиатрии и,2313-7053
Оборонный комплекс – научно-,1729-6552
Оборудование и технологии для,1999-6934
Обработка металлов,1994-6309
Образование и культурное,2713-2803
Образование и наука,1994-5639
Образование и общество,2071-6710
Образование и право,2076-1503
Образование и саморазвитие,1991-7740
Образование личности,2225-7330
Образование. Наука. Научные,2073-3305
Образовательные ресурсы и,2500-2112
Обсерватория культуры,2072-3156
Общая реаниматология,1813-9779
Общенациональный научно-,2071-5358
Общероссийский научно-,1684-1301
Общественное здоровье,2782-1676
Общественные науки и,0869-0499
Общество и право,1727-4125
Общество и экономика,0207-3676
Общество. Среда. Развитие.,1997-5996
"Общество: политика,",2071-9701
"Общество, право,",2949-0979
"Общество: социология,",2221-2795
"Общество: философия, история,",2221-2787
Овощи России,2072-9146
"Овцы, козы, шерстяное дело",2074-0840
Огнеупоры и техническая,0369-7290
Ожирение и метаболизм,2071-8713
Ойкумена. Регионоведческие,1998-6785
Окружающая среда и (,2658-6703
Омский научный вестник,1813-8225
Омский научный вестник.,2588-0373
Омский научный вестник.,2542-0488
Онкогематология,1818-8346
Онкогинекология,2227-8710
Онкологический журнал:,2587-7593
Онкопедиатрия,2311-9977
Онкоурология,1726-9776
Онтология проектирования,2223-9537
Оперативная хирургия и,2587-7755
Оперативник,1999-2696
Оптика атмосферы и океана,0869-5695
Оптика и спектроскопия,0030-4034
Оптический журнал,1023-5086
Опухоли головы и шеи,2222-1468
Опухоли женской,1994-4098
Организатор производства,1810-4894
Организационная психология,2312-5942
Организационная,2619-0273
"ОРГЗДРАВ: новости, мнения,",2411-8621
Оренбургский медицинский,2309-0782
Ориенталистика,2618-7043
Орошаемое земледелие,2618-8279
Ортодоксия,2712-9276
Ортодонтия,2924-7068
"Ортопедия, травматология и",2309-3994
"Основы экономики, управления",2305-8641
Остеопороз и остеопатии,2072-2680
От химии к технологии шаг за,2782-1900
Отечественная геология,0869-7175
Отечественная и зарубежная,2224-0772
Отечественная филология,2949-5016
Открытое образование,1818-4243
Открытые системы. СУБД,1028-7493
Оториноларингология.,2226-3322
Офтальмологические,1998-7102
Офтальмология,1816-5095
Офтальмохирургия,0235-4160
П.О.И.С.К. (Политика.,2072-6015
Палеоросия. Древняя Русь: во,2618-9674
Палимпсест.,2658-7475
Паллиативная медицина и,2079-4193
Пародонтология,1683-3759
ПАТЕНТЫ И ЛИЦЕНЗИИ.,2413-5631
Патогенез,2310-0435
Патология кровообращения и,1681-3472
Патологическая физиология и,0031-2991
Педагогика. Вопросы теории и,2686-8725
Педагогика искусства,1997-4558
Педагогика сельской школы,2686-8652
Педагогико-психологические и,2070-4798
Педагогическая информатика,2077-9013
Педагогические измерения,2587-9375
Педагогические исследования,2782-2346
Педагогический журнал,2223-5434
Педагогический журнал,1817-3292
Педагогический ИМИДЖ,2409-5052
Педагогический научный,2949-0863
Педагогическое образование /,2712-9950
Педагогическое образование в,2079-8717
Педагогическое образование и,2072-2524
Педиатр,2079-7850
Педиатрическая фармакология,1727-5776
Педиатрия. Consilium Medicum,2658-6630
ПЕРВАЯ МИЛЯ LAST MILE,2070-8963
Первый экономический журнал,2782-5183
Пермский медицинский журнал,0136-1449
Перспективы науки,2077-6810
Перспективы науки и,2307-2334
Петербургский экономический,2307-5368
Пиво и напитки,2072-9650
Пилотируемые полеты в космос,2226-7298
Письма в Вавиловский журнал,2686-8482
Письма в Эмиссия. Оффлайн,2500-2244
Письма в Журнал технической,0320-0116
Письма о материалах,2218-5046
Письменные памятники,1811-8062
Пищевая промышленность,0235-2486
Пищевые системы – Food,2618-9771
Пластическая хирургия и,2686-7346
Плодоводство и виноградарство,2219-5335
Плодоводство и ягодоводство,2073-4948
Плодородие,1994-8603
Поведенческая неврология,2712-9675
Поволжская археология,2306-4099
Поволжский онкологический,2078-1466
Поволжский педагогический,2307-1052
Подводные исследования и,1992-4429
Подъемно-транспортное дело,2077-5903
Пожарная безопасность,2411-3778
Пожаровзрывобезопасность,0869-7493
Пожары и чрезвычайные,2071-9116
Познание и переживание,2782-2168
Ползуновский вестник,2072-8921
Полилог / Polylogos,2587-7011
Полимерные материалы и,2415-7260
ПОЛИС. Политические,1026-9487
Политематический сетевой,1990-4665
Политехнический вестник.,2520-2235
Политехнический вестник.,2520-2227
Политика и общество,2454-0684
Политическая лингвистика,1999-2629
Политическая наука,1998-1775
Политическая экспертиза:,1818-4499
ПОЛИТИЯ. Журнал,2078-5089
Политравма/Polytrauma,1819-1495
Полицейская деятельность,2454-0692
Полицейская и следственная,2409-7810
Полупроводниковая,2079-9462
Постсоветские исследования,2618-7426
Постсоветский материк,2311-6412
Почвы и окружающая среда,2618-6802
Правда и закон,2587-8387
Право и бизнес,2712-8865
Право в Вооруженных Силах -,2219-5947
Право и государство: теория и,1815-1337
Право и политика,1811-9018
Право и практика,2411-2275
Право и современные,2307-3306
Право и управление. XXI век,2073-8420
Право и управление,2224-9133
Право и экономика,0869-7671
Право интеллектуальной,2072-4322
Право: история и,2588-0012
Право.by,1997-7328
Право. Безопасность.,2074-1626
Право. Журнал Высшей школы,2072-8166
Правовая жизнь,2307-5198
Правовая информатика,1994-1404
Правовая культура,1992-5867
Правовая политика и правовая,1608-8794
Правоведение,2658-6037
Правовое государство: теория и,2500-0217
Правоприменение,2542-1514
Правовой энергетический,2312-4350
Правосудие / Justice,2686-9241
Практика противокоррозионной,1998-5738
Практика педиатра,2658-7319
Практики и интерпретации:,2415-8852
Практическая аллергология,2712-9667
Практическая медицина,2072-1757
Практическая онкология,1726-9814
Практическая пульмонология,2409-6636
Практическая силовая,1996-7888
Практический маркетинг,2071-3762
Предпринимательское право,1999-4788
Представительная власть - XXI,2073-9532
Пренатальная диагностика,0234-4521
Преподавание истории в школе,0132-0696
Преподавание истории и,2074-4935
Преподаватель ХХI век,2073-9613
Препринты ИПМ им. М.В.,2071-2901
Приборы,2071-7865
Приборы и системы,2074-8906
Приборы и системы.,2073-0004
Приборы и техника,0032-8162
Приводы и компоненты машин,2223-1587
Приволжский научный журнал,1995-2511
Прикаспийский журнал:,2074-1707
Прикладная дискретная,2071-0410
Прикладная информатика /,1993-8314
Прикладная математика и,2499-9873
Прикладная математика &,2687-0959
Прикладная психология и,2500-0543
Прикладная физика,1996-0948
Прикладная физика и,2307-1621
Прикладная эконометрика,1993-7601
Прикладная юридическая,2072-8336
Прикладные информационные,2070-9277
Прикладные экономические,2313-2086
Приложение международного,2587-5558
Принципы экологии,2304-6465
Природные и техногенные,2221-5638
Природные ресурсы Арктики и,2618-9712
Природообустройство,1997-6011
Пробелы в российском,2072-3164
Проблемы агрохимии и,2072-0386
Проблемы Арктики и,0555-2648
Проблемы биологии,1996-6733
Проблемы востоковедения,2223-0564
Проблемы гастроэнтерологии,0868-8109
Проблемы Дальнего Востока,0131-2812
Проблемы информатики,2073-0667
Проблемы информационной,2071-8217
"Проблемы истории, филологии,",1992-0431
Проблемы исторической,2411-4642
Проблемы машиностроения и,0234-6206
Проблемы машиностроения и,0235-7119
Проблемы медицинской,1999-6780
Проблемы межрегиональных,2414-5734
Проблемы музыкальной науки /,2782-3601
Проблемы музыкальной науки /,2782-3598
Проблемы национальной,2079-3359
Проблемы особо опасных,0370-1069
Проблемы постсоветского,2313-8920
Проблемы права,2075-7913
Проблемы прогнозирования,0868-6351
Проблемы правоохранительной,1819-7426
Проблемы прочности и,1814-9146
Проблемы развития АПК,2079-0996
Проблемы развития территории,2076-8915
Проблемы репродукции,1025-7217
"Проблемы сбора, подготовки и",1998-8443
Проблемы современного,2218-8711
Проблемы современного,2311-1305
Проблемы современной,1818-3395
Проблемы социально-,2224-1833
Проблемы стандартизации в,1607-2502
Проблемы стоматологии,2077-7566
Проблемы теории и практики,0234-4505
Проблемы управления рисками,1998-8990
Проблемы управления/Control,1819-3161
Проблемы черной металлургии,1997-9258
Проблемы экономики и,1999-6942
Проблемы экономики и,2541-8025
Программная инженерия,2220-3397
Программные системы и,2305-6061
Программные системы: теория,2079-3316
Прогрессивная экономика,2713-1211
Продовольственная политика,2499-9431
Проектирование и технология,2071-9809
ПРОЕКТИРОВАНИЕ. ОПЫТ.,3034-2058
Пролог: журнал о праве /,2313-6715
Промышленная ботаника,1728-6204
Промышленная энергетика,0033-1155
Промышленное и гражданское,0869-7019
Промышленное производство и,2071-8268
Промышленные АСУ и,1561-1531
Промышленные процессы и,2713-0789
Промышленный сервис,2224-9656
PROНЕФТЬ. Профессионально,2587-7399
Пространственная экономика,1815-9834
"Пространство, время и",2226-8812
Противодействие терроризму.,2304-5825
Профессиональное образование,2220-3036
Профессиональное образование,2224-1841
Профессиональное образование,2307-4264
Профессорский журнал. Серия:,2687-0339
Профилактическая и,2074-9120
Профилактическая медицина,2305-4948
Профильная школа,1198-0744
Процессы в геосредах,2412-9429
Психиатрия,1683-8319
Психиатрия и,2075-1761
Психические расстройства в,2074-2363
Психолог,2409-8701
Психологическая наука и,1814-2052
Психологические исследования,2075-7999
Психология и педагогика,2782-7348
Психология и право,2222-5196
Психология и психотехника,2070-8955
Психология образования в,2073-8439
Психология обучения,1561-2457
Психология. Журнал Высшей,1813-8918
Психология. Историко-,2223-5477
Психология. Психофизиология,2686-7281
Психология человека в,2686-9527
Психолого-педагогические,2587-6139
Психолого-педагогический,2075-3500
Психопедагогика в,1999-6241
Псковский регионологический,2219-7931
Птица и птицепродукты /,2073-4999
Публичное и частное право,2073-8501
Публичное право сегодня,2541-8440
Пульмонология,0869-0189
Путеводитель,2073-9885
Путевой Навигатор,2541-9986
Путь и путевое хозяйство,0131-5765
Пчеловодство,0369-8629
Радиационная биология.,0869-8031
Радиация и риск. Бюллетень,0131-3878
Радиология - практика,2713-0118
Радиопромышленность,2413-9599
Радиотехника,0033-8486
Радиотехнические и,2221-2574
Радиоэлектроника.,2218-3000
Развитие и безопасность,2713-2633
Развитие личности /,2071-9788
Развитие образования,2619-1466
Развитие территорий,2412-8945
Разнообразие растительного,2686-9713
Разработка и регистрация,2305-2066
Ракетно-космическое,2409-0239
Расплавы,0235-0106
Расследование преступлений:,2411-1627
Растительность России,2073-0659
Растительные ресурсы,0033-9946
Растительный мир Азиатской,1995-2449
Реальная клиническая,2782-3784
Регионалистика,2313-0881
Рациональное освоение недр,2219-5963
Рациональная фармакотерапия,1819-6446
"Регион: системы, экономика,",1997-4469
Регион: экономика и,0868-5169
Региональная архитектура и,2072-2958
Региональная геология и,0869-7892
Региональная и отраслевая,2782-4578
Региональная экономика и,1999-2645
Региональная экономика. Юг,2310-1083
Региональная экономика:,2073-1477
Региональные геосистемы,2712-7443
Региональные исследования,1994-5280
Региональные проблемы,1812-7096
Регионарная анестезия и,1993-6508
Регионарное кровообращение и,1682-6655
Регионология,2413-1407
Регулярный научный журнал,2687-0541
Регуляторные исследования и,3034-3062
Релейная защита и,2222-5269
Религиоведение,2072-8662
Ремедиум,1561-5936
"Ремонт, восстановление,",1684-2561
Репродуктивное здоровье детей,1816-2134
Речной транспорт,1729-4258
"РИСК: Ресурсы, Информация,",0130-3848
Рисоводство,1684-2464
"РМЖ ""Клиническая",2311-7729
РМЖ. Мать и дитя,2618-8430
РМЖ (Русский Медицинский,2225-2282
РМЖ (Русский Медицинский,2587-6821
Робототехника и техническая,2310-5305
Родина,0235-7089
Российская Арктика,2658-4255
Российская археология,0869-6063
Российская детская,2307-6658
Российская,1810-4800
Российская педиатрическая,1993-1859
Российская ринология,0869-5474
Российская стоматология,2072-6406
Российская школа связей с,2949-2513
Российская юстиция,0131-6761
Российский аллергологический,1810-8830
Российский,1726-9784
Российский вестник акушера-,1726-6122
Российский вестник гигиены,2713-0835
Российский вестник дентальной,2220-4180
Российский вестник детской,2219-4061
Российский вестник,1027-4065
Российский,2072-8042
Российский гуманитарный,2305-8420
Российский,2713-0622
Российский журнал,2409-6601
Российский журнал боли,2219-5297
Российский журнал,1382-4376
Российский журнал,2686-8636
Российский журнал детской,2311-1267
Российский журнал кожных и,1560-9588
Российский журнал,1729-7427
Российский журнал правовых,2410-7522
Российский журнал прикладной,2411-7374
Российский журнал «Проблемы,2075-1818
Российский кардиологический,1560-4071
Российский медико-,0204-3475
Российский медицинский,0869-2106
Российский научный вестник,2782-3830
Российский неврологический,2658-7947
Российский,2071-2693
Российский онкологический,1028-9984
Российский остеопатический,2220-0975
Российский,2072-0076
Российский,1998-8435
Российский педиатрический,1560-9561
Российский психологический,1812-1853
Российский семейный врач,2072-1668
Российский сейсмологический,2686-7907
Российский следователь,1812-3783
Российский социально-,2949-5032
Российский стоматологический,1728-2802
Российский судья,1812-3791
Российский экономический,0130-9757
Российский экономический,2218-5402
Российский юридический,2071-3797
"Российское право: образование,",2410-2709
Российское право онлайн,2542-2472
Российско-китайские,2587-7445
Россия XXI,0869-8503
Россия в глобальном мире /,2949-3501
Россия и Америка в XXI веке,2070-5476
Россия и АТР,1026-8804
Россия и мир: научный диалог-,2782-3067
Россия и новые государства,2073-4786
Россия и современный мир,1726-5223
Руды и металлы,0869-5997
Русистика/ Russian language,2618-8163
Русская германистика:,2782-2605
Русская литература,0131-6095
Русская речь,0131-6117
Русская словесность,0868-9539
Русский журнал детской,2073-8803
Русский инженер,2074-9252
Русский язык в научном,1681-1062
Русский язык в школе,0131-6141
Русско-Византийский вестник,2588-0276
Рыбное хозяйство,0131-6184
Рыбоводство и рыбное,2074-5990
Садоводство и виноградарство,0235-2591
Самарский научный вестник,2309-4370
Самоуправление,2221-8173
Санитарный врач,2074-8841
Саратовский научно-,1995-0039
"Саркомы костей, мягких тканей",2219-4614
Сахар,2413-5518
Сахарная свекла,0036-3359
Сберегательное дело за,2782-5949
"Сборка в машиностроении,",0202-3350
Сборник научных трудов,2658-7009
Сборник научных трудов,1993-5579
Сборник научных трудов,1810-9594
Сборник научных трудов,2588-0179
Сборник трудов Всероссийской,2078-7707
Сварка и Диагностика,2071-5234
Светотехника,0039-7067
Севернорусские говоры,0134-8515
Северные Архивы и,2542-1158
"Северный регион: наука,",2949-3463
Северо-Восточный,2218-1644
Северо-Кавказский,2074-7306
Сегодня и завтра российской,1993-4947
Сейсмостойкое строительство.,2618-9283
Сейсмостойкое строительство.,1681-6560
Сельский механизатор,0131-7393
Сельскохозяйственные машины,2073-7599
Сельскохозяйственный журнал,2687-1246
Семиотические исследования.,2782-2966
Сервис plus,1993-7768
Сердце: журнал для,1728-4724
Сеченовский вестник,2218-7332
Сетевой научно-практический,2713-2811
Сибирская финансовая школа,1993-4386
Сибирские уголовно-,2411-6122
Сибирский антропологический,2542-1816
Сибирский аэрокосмический,2712-8970
Сибирский вестник психиатрии,1810-3111
Сибирский вестник,0370-8799
Сибирский журнал,2713-2927
Сибирский искусствоведческий,2782-4926
Сибирский лесной журнал.,2311-1410
Сибирский медицинский,2541-8289
Сибирский научный,2410-2512
Сибирский онкологический,1814-4861
Сибирский педагогический,1813-4718
Сибирский пожарно-,2500-4026
Сибирский психологический,1726-7080
Сибирский физический журнал,2541-9447
Сибирский филологический,1813-7083
Сибирский филологический,2587-7844
Сибирский философский,2541-7517
Сибирский юридический,2071-8136
Сибирское медицинское,1819-9496
Сибирское юридическое,2658-7602
СибСкрипт = SibScript,2949-2122
Системная инженерия и,2658-5014
Системные технологии,2227-5398
Системный анализ и,1682-6523
Системы анализа,2782-2001
Системы высокой доступности,2072-9472
Системы и средства,0869-6527
Системы контроля,2220-5861
Системы управления и,1729-5068
"Системы управления, связи и",2410-9916
Системы. Методы. Технологии,2077-5415
Скорая медицинская помощь,2072-6716
Славянский альманах,2073-5731
Словесность и история,2712-7591
Слово.ру: балтийский акцент,2225-5346
Современная архитектура мира,2500-3445
Современная высшая школа:,2071-9620
Современная Европа,0201-7083
Современная зарубежная,2304-4977
Современная конкуренция /,1993-7598
Современная наука: актуальные,2223-2982
Современная наука: актуальные,2223-2966
Современная наука: актуальные,2500-3682
Современная наука: актуальные,2223-2974
Современная онкология,1815-1434
Современная организация,2312-2854
Современная ревматология,1996-7012
Современная терапия,2306-4137
Современная экономика:,2078-9017
Современная электродинамика,2949-0553
Современное дошкольное,1997-9657
Современное общество и право,2225-7837
Современное педагогическое,2587-8328
Современное право,1991-6027
Современное промышленное и,1993-3495
Современное садоводство -,2312-6701
Современное,2949-1487
Современное строительство и,2414-5920
Современные вопросы,2588-0500
Современные информационные,2411-1473
Современные исследования,2077-1770
Современные наукоемкие,1812-7320
Современные наукоемкие,2713-1106
Современные проблемы,2658-6223
Современные проблемы,2312-2935
Современные проблемы,2587-9731
Современные проблемы науки,2070-7428
Современные проблемы,1995-0411
Современные тенденции в,2949-1835
Современные технологии.,1813-9108
Современные философские,2949-5121
Современный ученый,2541-8459
Соловьевские исследования,2076-9210
Сорбционные и,1680-0613
Социальная и клиническая,0869-4893
Социальная педагогика в,2071-3770
Социальная политика и,2071-3665
Социальная психология и,2221-1527
Социально-гуманитарные,0869-8120
Социально-гуманитарные,2500-4204
Социальное и пенсионное,2070-2167
Социально-политические науки,2223-0092
Социальное пространство,2499-9881
Социально-трудовые,2658-3712
Социально-экологические,2500-2961
Социально-экономический и,2500-1825
Социально-экономическое,1813-7946
Социальные аспекты здоровья,2071-5021
Социальные и гуманитарные,2412-6519
Социальные и гуманитарные,1992-2868
Социальные и гуманитарные,2219-8776
Социальные и гуманитарные,2219-8784
Социальные и гуманитарные,2219-8822
СОЦИАЛЬНЫЕ НОВАЦИИ,2712-7826
Социолингвистика,2713-2951
Социодинамика,2409-7144
Социологический журнал,1562-2495
Социологическое обозрение,1728-1938
Социология,1812-9226
Социология города,1994-3520
Социология и право,2219-6242
Социология медицины,1728-2810
Социология науки и технологий,2079-0910
"Социология: методология,",1994-8964
Социологическая наука и,2308-6416
Социум и власть,1996-0522
Союз криминалистов,2310-8681
Специальная техника,1996-0506
Специальная техника и,2712-9624
Специальное образование,1999-6993
"Спорт: экономика, право,",2070-2175
Спортивная медицина: наука и,2223-2524
Спортивно-педагогическое,2618-7604
Справочник врача общей,2074-9600
Сравнительная политика,2221-3279
Сравнительное,1812-7126
Среднерусский вестник,2071-2367
Средние века. Исследования по,0131-8780
СРЕТЕНСКОЕ СЛОВО,2782-6066
Стандарты и качество,0038-9692
Стандарты и мониторинг в,1998-1740
СТАНКОИНСТРУМЕНТ,2499-9407
Старинная музыка,1999-6810
Статистика и экономика,2500-3925
Cтратегирование: теория и,2782-2435
Сцена,1817-6542
Стоматология,0039-1735
Стоматология детского,1683-3031
Стратегическая стабильность,1680-2772
Страховое дело,0869-7574
Строитель Донбасса,2617-1848
Строительная механика и,2219-1038
Строительная механика и,0039-2383
Строительная механика,1815-5235
Строительное производство,2658-5340
Строительные и дорожные,0039-2391
Строительные материалы и,2618-7183
Строительство и архитектура /,2308-0191
Строительство и реконструкция,2073-7416
Строительство и техногенная,2413-1873
Строительство нефтяных и,0130-3872
Строительство уникальных,2304-6295
Строительство: наука и,2305-5502
Субтропическое и,2225-3068
Судебная экспертиза,1813-4327
Судебная экспертиза,2782-5256
Судебно-медицинская,0039-4521
Судостроение,0039-4580
Суханшиноси,2308-7420
"США & Канада: экономика,",0321-2068
Сыроделие и маслоделие,0235-2508
Таврический вестник аграрной,2542-0720
Таврический вестник,1729-3901
Таврический журнал,2413-1881
Таврический медико-,2070-8092
ТАДЖИКИСТАН и,2075-9584
Таможенное дело,2071-1220
Театр. Живопись. Кино.,1998-8745
Текст. Книга. Книгоиздание,2306-2061
Телекоммуникации,1684-2588
Теневая экономика,2541-7681
Теологический вестник,2782-2095
Теология: теория и практика,2949-3951
Теоретическая и прикладная,2410-7190
Теоретическая и прикладная,1995-4301
Теоретическая и прикладная,2409-8647
Теоретическая и прикладная,3034-2813
Теоретическая и,2073-0861
Теоретическая экономика,2221-3260
Теоретические и прикладные,2221-7312
Теории и проблемы,2223-5442
Теория государства и права,2500-0837
Теория и история искусства,2411-0795
Теория и практика,2307-2539
Теория и практика,1815-4964
Теория и практика,2713-0274
Теория и практика судебной,1819-2785
Теория и практика физической,0040-3601
Теория и техника радиосвязи,1995-7009
Теория и технология,2311-5378
Теория языка и межкультурная,2219-8660
Тепловые процессы в технике,2074-2649
Терапевт,2075-0277
«Терапевтический архив»,0040-3660
Терапия,2412-4036
"Территория ""Нефтегаз""",2072-2745
Территория новых,2949-1258
Тетради по консерватизму,2409-2517
Техник транспорта:,2687-1025
Техника и оборудование для,2072-9642
Техника и технологии в,2713-2064
Техника и технология пищевых,2074-9414
Техника и технология,2076-0655
Техника радиосвязи,2075-8693
Технико-технологические,2074-1146
Технический сервис машин,2618-8287
Технологии гражданской,1996-8493
Технологии живых систем,2070-0997
Технологии и качество,2587-6147
Технологии нефти и газа,1815-2600
Технологии пищевой и,2311-6447
Технологии обеспечения,2414-5726
Технологии сейсморазведки,1813-4254
Технологии техносферной,2071-7342
Технологии электромагнитной,1729-2670
Технология и товароведение,2219-8466
Технология легких сплавов,0321-4664
Технологос,2687-0266
Техносферная безопасность,2311-3286
Титан,2075-2903
Тихоокеанская география /,2687-0509
Тихоокеанский медицинский,1609-1175
Токсикологический вестник,0869-7922
Томский журнал,2307-6119
"Торговля, сервис, индустрия",2782-2214
Точка зрения. Восток-Запад,2410-1257
Травматология и ортопедия,2311-2905
Традиции и современность,2687-1122
Традиционная культура,2410-6658
Традиционная медицина,1818-6173
Традиционное прикладное,2619-1504
Тракторы и сельхозмашины,0321-4443
Трансляционная медицина,2311-4495
Трансплантология,2074-0506
Транспорт Азиатско-,2415-8658
Транспорт и хранение,0131-4270
Транспорт на альтернативном,2073-1329
Транспорт Урала,1815-9400
Транспорт. Транспортные,2411-1678
"Транспортное, горное и",2658-3305
Транспортное дело России,2072-8689
Транспортное машиностроение,2782-5957
Транспортное право,1812-3937
Транспортное право и,2500-1868
Транспортное строительство,0131-4300
Трансформация экосистем,2619-0931
Трансфузиология,2221-4593
Трение и износ,0202-4977
"Тромбоз, гемостаз и реология",2078-1008
Труд и социальные отношения,2073-7815
Трудный пациент,2074-1995
Трудовое право в России и за,2221-3295
Труды 25 ГосНИИ МО РФ,2313-7037
Труды Академии управления,2072-9391
Труды ВИАМ,2307-6046
Труды ВНИРО,2307-3497
Труды Военно-космической,2218-5429
Труды Главной геофизической,0376-1274
Труды ГосНИИАС. Серия,3034-2112
Труды ГПНТБ СО РАН,2618-7515
Труды зоологического,0206-0477
Труды Института государства и,2073-4522
"Труды Института истории,",2658-5960
Труды Института математики и,0134-4889
Труды Института прикладной,2224-7440
Труды Института системного,2079-0279
Труды Института системного,2220-6426
Труды Карельского научного,1997-3217
Труды кафедры богословия,2541-9587
Труды Крыловского,2542-2324
Труды Кубанского,1999-1703
Труды МАИ,1727-6942
ТРУДЫ МФТИ - Труды,2072-6759
Труды НАМИ,0135-3152
Труды НИИР,0134-5583
"Труды НПО ""Энергомаш имени",2079-0228
Труды Оренбургского,2073-8838
Труды по интеллектуальной,2225-3475
"Труды по прикладной ботанике,",2227-8834
Труды РАНИМИ,2519-2418
Труды Российского,2073-9028
Труды Санкт-Петербургского,2079-6080
Труды Саратовской,2782-5884
Труды СПбГМТУ,2414-1437
Труды «НПЦАП». Системы и,1991-5950
